iter	Logloss
0	0.6842692183
1	0.6762990983
2	0.668208922
3	0.6609490397
4	0.6527744736
5	0.6452403542
6	0.636872697
7	0.6274045805
8	0.6186645227
9	0.6117499495
10	0.6039068954
11	0.59735602
12	0.5888637067
13	0.5815198535
14	0.5754450976
15	0.5688663442
16	0.5622170673
17	0.556398128
18	0.5510058285
19	0.5446908099
20	0.5366702949
21	0.5313510976
22	0.5255045305
23	0.5199448051
24	0.5142934352
25	0.5094631061
26	0.5041452517
27	0.4986055634
28	0.4936651995
29	0.488793581
30	0.4838791735
31	0.4797672876
32	0.4742625826
33	0.4681888081
34	0.4628839979
35	0.4578029025
36	0.4523076026
37	0.4472530158
38	0.4417618885
39	0.4359492033
40	0.4313715478
41	0.425827883
42	0.4220122369
43	0.417891053
44	0.4128406336
45	0.4082529021
46	0.4036620453
47	0.3989792873
48	0.3940802738
49	0.3907549444
50	0.3875653056
51	0.3831327807
52	0.3800417857
53	0.376359343
54	0.3727902815
55	0.3697436996
56	0.3664373367
57	0.363654059
58	0.3609761813
59	0.3576028517
60	0.3539311169
61	0.3514950212
62	0.3488140314
63	0.3459482596
64	0.3429183591
65	0.3404700044
66	0.3374555902
67	0.3340369127
68	0.3316357667
69	0.3285523673
70	0.3261897502
71	0.3237671249
72	0.3207491302
73	0.3175272538
74	0.3146988875
75	0.3122315338
76	0.309527596
77	0.3070929878
78	0.3045306501
79	0.3024994464
80	0.2998406085
81	0.297506103
82	0.2954374978
83	0.2935577302
84	0.2916435465
85	0.2890185292
86	0.2856596846
87	0.283716547
88	0.2815008897
89	0.2791452353
90	0.2778357177
91	0.2753834309
92	0.2728774107
93	0.2712851718
94	0.2695515185
95	0.2672244084
96	0.265354463
97	0.2632588136
98	0.2617184261
99	0.2593426715
100	0.2569334158
101	0.255439533
102	0.2533399972
103	0.2516049986
104	0.2499202783
105	0.2475133133
106	0.245822102
107	0.2437687756
108	0.2420676589
109	0.2406911731
110	0.2393873758
111	0.2377755477
112	0.2358868032
113	0.2344407048
114	0.2329561526
115	0.2312599163
116	0.2294973196
117	0.2280154215
118	0.2265983115
119	0.2251992532
120	0.2241710961
121	0.2226598023
122	0.2209191023
123	0.2192587306
124	0.2181668636
125	0.2165049759
126	0.2153830166
127	0.2142058039
128	0.2131534186
129	0.2117502563
130	0.210651911
131	0.2096476427
132	0.2086405756
133	0.2076444016
134	0.206225683
135	0.2051335306
136	0.2039670197
137	0.2027492469
138	0.2015851554
139	0.200671448
140	0.1996714859
141	0.1988012915
142	0.1980245197
143	0.1971625287
144	0.1958396922
145	0.1947549895
146	0.1939658368
147	0.1934192499
148	0.1917798436
149	0.1907934054
150	0.1899525801
151	0.1889602835
152	0.1875559463
153	0.1866698045
154	0.1858046588
155	0.1849632864
156	0.1838605356
157	0.1825555066
158	0.1814647446
159	0.180767889
160	0.1799764008
161	0.1790146182
162	0.177927275
163	0.1768603287
164	0.1760899653
165	0.1750235048
166	0.174276948
167	0.1730758994
168	0.1723870131
169	0.1717203896
170	0.1708007465
171	0.1698980594
172	0.1691196714
173	0.1686243367
174	0.167778541
175	0.1672823674
176	0.1662441417
177	0.1658450086
178	0.1648879688
179	0.1640606076
180	0.163677702
181	0.1630824637
182	0.1627289448
183	0.1619609897
184	0.161090841
185	0.1600987288
186	0.1591848319
187	0.1587544056
188	0.1582390376
189	0.1576181599
190	0.1570854551
191	0.1566518678
192	0.1557225646
193	0.1552916438
194	0.1547205632
195	0.1541964889
196	0.1533626972
197	0.1528223981
198	0.1521943862
199	0.151447618
200	0.1512443961
201	0.1508652823
202	0.15016386
203	0.1497107026
204	0.1491800785
205	0.1487851289
206	0.1483207451
207	0.1478134285
208	0.1471375213
209	0.1463712178
210	0.1457539054
211	0.1453250977
212	0.1448053476
213	0.1443033739
214	0.143952308
215	0.1434069272
216	0.1428604886
217	0.1419791249
218	0.1413205903
219	0.1408369051
220	0.1404949222
221	0.1399158103
222	0.1395433388
223	0.1391082413
224	0.1385187605
225	0.1381505827
226	0.137648358
227	0.1371991413
228	0.1366419969
229	0.1361442821
230	0.1356363147
231	0.1352548974
232	0.1348129341
233	0.1341329748
234	0.1336376718
235	0.1332950885
236	0.1329421476
237	0.1325148296
238	0.1320825338
239	0.1313963945
240	0.1309495034
241	0.1307233926
242	0.1303910385
243	0.1297476046
244	0.1293708202
245	0.1290472473
